sno,hid,hname,state,city,address,zipcode,statecode
0031,HAP0031,American Oncology Institute (A Unit Of Cancer Treatment Services Hyderabad Pvt. Ltd.),Andhra Pradesh,Hyderabad,"No. 1-111/4/B/104, Flat No. B-104, Kondapur, Kothaguda Post, Hyderabad, Andhra Pradesh",500084,AP
0032,HAP0032,Amma Children'S Hospital,Andhra Pradesh,Guntur,"No.137-7-109/D, Old Club Road, Gunturvari Thota, Guntur-522001",522001,AP
0033,HAP0033,Amma Hospital,Andhra Pradesh,Vijayawada,"9-64-2,Syed Gulab Street,Kothapet",520001,AP
0034,HAP0034,Amrutha Heart Hospital,Andhra Pradesh,Ongole,60 Feet Road Satyanarayanapuramsatyanarayanpuram,523002,AP
0035,HAP0035,Amrutha Nursing Home,Andhra Pradesh,Karimnagar,"3-3-168,Savaran Street,Besides Civil Hospital,Karimnagar",505001,AP
0036,HAP0036,Amrutha Nursing Home Private Limited,Andhra Pradesh,Gajuwaka,"D.No.10-7-85,Kailash Nagar,Gajuwaka.Gajuwaka",530026,AP
0037,HAP0037,Amulya Nursing Home,Andhra Pradesh,Guntur,"Guntur Road, Narasaraopet.",522601,AP
0038,HAP0038,Anand Eye Institute Private Limited,Andhra Pradesh,Hyderabad,"4Th Floor,Rata Tycoon,Tarnaka",500017,AP
0039,HAP0039,Anantha Lakshmi Kidney & Multispeciality Hospital,Andhra Pradesh,Hyderabad,"H.No.3-9-10/4, Opp To Ramanathapur School, Ramanathapur, Hyderabad-500013",500013,AP
0040,HAP0040,Anasuya Institute Of Medical Sciences,Andhra Pradesh,Nellore,"16/2/142,Hotel Venkataramana Lane,Pogathota",524001,AP
0041,HAP0041,Andhra Hospitals,Andhra Pradesh,Vijayawada,"C.V.R Complex, Prakasamroad, Vijayawada",520002,AP
0042,HAP0042,Anitha Nursing Home,Andhra Pradesh,Hyderabad,"No 9-1/3, Sri Ramanagara Colony, Near Uppal Bus Depot, Hyderabad-500098",500098,AP
0043,HAP0043,Ankith Multispeciality Hospitals,Andhra Pradesh,Rangareddy,"Opp Bus Stand,Ibrahimpatnam,Sagar Road",501506,AP
0044,HAP0044,Ankura Children'S Hospital ( A Unit Of Ankura Medical & Research Centre Pvt Ltd ),Andhra Pradesh,Kukatpally,"Near Geethejali School, 7Th Phase, Kphb Kukatpalli, Hyderabad",500072,AP
0045,HAP0045,Annapoorna Hospital,Andhra Pradesh,Vizag,"47-9-32, 3Rd Lane, Dwarakanagar, Visakahpatnam-530016",530016,AP
0046,HAP0046,Annapurna Multispeciality Hospital,Andhra Pradesh,Gudivada,"10-165, Eluru Road, Gudivada, Krishna-521301, Opp.Bank Of Baroda",521301,AP
0047,HAP0047,Anu Hospitals,Andhra Pradesh,Vijayawada,"33-18-1,Chalasani Venkata Krishwaiah Street Near Puspha Hotel, Krishna Suryaraopet",520002,AP
0048,HAP0048,Anukrushna Hospitals,Andhra Pradesh,Hyderabad,"10-191/2, Vasanthapuri Colonymalkajgiri",500047,AP
0049,HAP0049,Anupama Hospital,Andhra Pradesh,Hyderabad,"16-31/494 & 495, 6Th Phase, Kphb Colony,Kukatpally, Hyderabad-500072",500072,AP
0050,HAP0050,Anupama Surgical & Children Hospital,Andhra Pradesh,Vizag,"47-9-21, Dwarakanagar, Visakha Patnam",530016,AP
0051,HAP0051,Anusha Hospital,Andhra Pradesh,Hyderabad,"12-2-454,Gudi Malkapur,Mehdipatnam",500028,AP
0052,HAP0052,Anvitha Hospital,Andhra Pradesh,Hyderabad,"8-3-23A/A/516,517,A-Block Sri Keishna Nagar,Yousufguda",500045,AP
0053,HAP0053,Aparna Hospitals Pvt Ltd,Andhra Pradesh,Warangal,"#2-5-680,Subedari,Hanamkonda",506001,AP
0054,HAP0054,Apex Hospital,Andhra Pradesh,Rajamundry,"75-6-23, Prakash Nagar,East Godavari, Rajamundry.",533103,AP
0055,HAP0055,Apex Hospital (Steel City Critical Care Pvt Ltd),Andhra Pradesh,Vizag,"16-1-5, Coastal Battery Road, Maharanipeta",530002,AP
0056,HAP0056,Apollo Emergency & Clinic,Andhra Pradesh,Hyderabad,16-2-705/5/5Malakpet,500036,AP
0057,HAP0057,Apollo Emergency & Clinic,Andhra Pradesh,Hyderabad,"Opp Sai Baba Temple, Bhagyanagar Colony,Kukkatpally Housing Board",500072,AP
0058,HAP0058,Apollo Emergency & Clinic,Andhra Pradesh,Hyderabad,"Mehdipatnam, Meeraj Complex, Hyderabad-500028",500028,AP
0059,HAP0059,Apollo Emergency Hospital,Andhra Pradesh,Hyderabad,"3-5-836 Hyderguda, Hyderabad 500029",500029,AP
0060,HAP0060,Apollo Hospital,Andhra Pradesh,Secunderabad,"Vikrampuri Colony, Rajivi Gandhi Marg, Kharkhana.",500003,AP
0061,HAP0061,Apollo Hospital (Kakinada),Andhra Pradesh,Eastgodavari,"13-1-3, Main Road, Kakinada - 533001",533001,AP
0062,HAP0062,Apollo Hospital- Basheerbagh,Andhra Pradesh,Hyderabad,"Skylane Theatre Lane, Basheerbagh, Hyderabad-500016Basheerbagh",500016,AP
0063,HAP0063,Apollo Hospitals,Andhra Pradesh,Hyderabad,"Jubilee Hills, Hyderabad-500033",500033,AP
0064,HAP0064,Apollo Hospitals,Andhra Pradesh,Secunderabad,#9-1-87/1 Next To Keys High School St. Johns Road,500003,AP
0065,HAP0065,Apollo Hospitals,Andhra Pradesh,Vizag,"Waltair Main Road, Vishakapatnam-530002",530017,AP
0066,HAP0066,Apollo Hospitals Enterprise Ltd,Andhra Pradesh,Hyderabad,"Dmrl Cross Road, Santhosh Nagar,Kanchanbag, Hyderabad -500058",500058,AP
0067,HAP0067,Apollo Nursing Home,Andhra Pradesh,Karimnagar,"H.No.3-3-111,Sawaran Street,Civil Hospital Road",505001,AP
0068,HAP0068,Apoorva Health Services Pvt Ltd,Andhra Pradesh,Vizag,"50-17-62, Rajendranagar, Visakhapatnam-530016",530016,AP
0069,HAP0069,Apoorva Hospital,Andhra Pradesh,Hyderabad,"46/A, Santoshnagar Colony,Mehdipatnam, Hyderabad-500028",500028,AP
0070,HAP0070,Apple Hospital,Andhra Pradesh,Hyderabad,"Plot # 266,Vivekanandanagar Colony,Kukatpally",500072,AP
0071,HAP0071,Aravind Eye Hospital Private Limited,Andhra Pradesh,Hyderabad,"# 12-2-824/A/1, Santosh Nagar Colony, Opp:St.Ann'S Womens College, Mehdipatnam. Hyderabad-500028",500028,AP
0072,HAP0072,Aravind Multispeciality Hospital,Andhra Pradesh,Hyderabad,Opp Police Station Hayata Nagar Opp Police Station,501505,AP
0073,HAP0073,Aravind Nethralaya Meenakshi Hospital,Andhra Pradesh,Nellore,"16-2-269, Swathantra Park Street,Near Saibaba Temple, Gandhi Nagar,Nellore",524001,AP
0074,HAP0074,Aravindam Orthopaedic And Physiotherapy Centre,Andhra Pradesh,Rajamundry,"D.No-6-18-3, Kokkondavari Street, T Nagar.Rajahundry-1",533101,AP
0075,HAP0075,Archana Hospital,Andhra Pradesh,Himayatnagar,Ram Nagar,560048,AP
0076,HAP0076,Arun Kidney Centre,Andhra Pradesh,Vijayawada,"#29-23-9,Tadepallivani Street,Suryaraopet",520002,AP
0077,HAP0077,Asha Hospital,Andhra Pradesh,Hyderabad,"H.No.19-66/11,Prashanagar Phase Ii,Behind Spencers, Hitention Road,Kapra",500062,AP
0078,HAP0078,Asian Institute Of Gastroenterology,Andhra Pradesh,Hyderabad,"6-3-661, Somajiguda, Near Red Rose Hotel, Hyderabad-500082",500082,AP
0079,HAP0079,Aswinee Nursing Home,Andhra Pradesh,Vijayawada,"D.No.29-26-56,Suryaraopet,Jadagamvari Street,Vijayawada,",520002,AP
0080,HAP0080,Aswini Hospitals,Andhra Pradesh,Guntur,"15-1-17, 150 M5 From Rtc Bus Stand",522001,AP
0081,HAP0081,Aswini Mother & Child Hospital,Andhra Pradesh,Westgodavari,"Taylor Pet,Narsapur",534275,AP
0082,HAP0082,Aswini Netralayam,Andhra Pradesh,Guntur,"16-2-89, Guntur Road, Narasaraopet.",522601,AP
0083,HAP0083,Aware Global Hospital (A Unit Of Ravindranath Ge Medical Associates Pvt Ltd),Andhra Pradesh,Hyderabad,"08-16-01, Lingojiguda,Saroornagar,L.B.Nagar",500035,AP
0084,HAP0084,Aware Global Hospitals,Andhra Pradesh,Hyderabad,"Shanthivanam, Nagarjuna Sagar Roadnagarjuna Sagar Road,",500035,AP
0085,HAP0085,Axis Eye Foundation,Andhra Pradesh,Hyderabad,"Suite # 502, Rivera Apts Dwarakapuri Colony Panjagutta",500082,AP
0086,HAP0086,Axon Hospitals,Andhra Pradesh,Hyderabad,"8-3-215,Srinvasanagar, Colony West, Opp Icici Bank Sr Nagar,Hyderabad-500038",500038,AP
0087,HAP0087,Ayush Hospital,Andhra Pradesh,Hyderabad,"Premises # 1-2-30/7, Nizampet Road.",500072,AP
0088,HAP0088,Azam Hospital,Andhra Pradesh,Hyderabad,"21-4-189, Azam Hospital, Hussaini Alam, Hyderbad-500002",500002,AP
0089,HAP0089,B.K.R Hospital,Andhra Pradesh,Hyderabad,"8-3-164/C, Erragadda, Beside Gokul Theatre.",500018,AP
0090,HAP0090,B.M.R Hospitals,Andhra Pradesh,Guntur,"6Th Lane,2Nd Cross,Arundelpet",522002,AP
0091,HAP0091,Baby Hospital,Andhra Pradesh,Ananthapur,"12-2-950(12-358)Sai Nager 2Nd Cross,Anantapur",515001,AP
0092,HAP0092,Balaji Eye Care & Laser Centre,Andhra Pradesh,Hyderabad,"1St Floor,D-No 6-3788/32,Durganagar Colony Main Road,Ameerpet",500016,AP
0093,HAP0093,Balaji Hospital,Andhra Pradesh,Kurnool,"Balaji Hospital 43/19 N.R. Peta, Kurnool-500001",500001,AP
0094,HAP0094,Balaji Hospital,Andhra Pradesh,Secunderabad,"Plot #34,34/A,Pet Basheerabad,Ncl South,Medchal Road,Ranga Reddy",500055,AP
0095,HAP0095,Balaji Hospital,Andhra Pradesh,Warangal,"#15-4-17, S.V.N Road ,Warangal-506002",506002,AP
0096,HAP0096,Bapuji Maternity & Nursing Home,Andhra Pradesh,Hyderabad,"7-44,Bapuji Nagarnacharam",500076,AP
0097,HAP0097,Basant Sahney Hospitals.,Andhra Pradesh,Secunderabad,"#253,Nehru Nagar,Road No.11,West Marredpally,K.Konda Reddy Street,Secunderabad,",500026,AP
0098,HAP0098,Basavatarakam Indo American Cancer Hospital & Research Institute,Andhra Pradesh,Hyderabad,"Road No 14, Banjara Hills, Hyderabad-500034",500034,AP
0099,HAP0099,Beams Hospitals Pvt Ltd. Hyderabad,Andhra Pradesh,Hyderabad,"Plot No. 99, Road No-1, Jublee Hills, Hyderabad-500033",500033,AP
0100,HAP0100,Bharathi Hospital,Andhra Pradesh,Kadapa,"1/82, R.S. Road, Kadapa-516001",516004,AP
0101,HAP0101,Bharathi Hospital,Andhra Pradesh,Vizag,"14-24-1, Men'S Hostel Road, Maharanipet, Visakhapatnam-530002",530002,AP
0102,HAP0102,Bhardwaj Nursing Home,Andhra Pradesh,Warangal,"Beside Bus Stand,Rtc,Thorrur,",506163,AP
0103,HAP0103,Bhaskara Hospital,Andhra Pradesh,Hyderabad,"Shapurnagar Main Road,Near Sai Bhavani Hospital",500055,AP
0104,HAP0104,Bhaskara Hospital,Andhra Pradesh,Rangareddy,"Hno-C-11-13-154/1/1,Road#1,Dwarakanagar Colony,Saroornagar,Ranga Reddy",500035,AP
0105,HAP0105,Bhavya Hospital,Andhra Pradesh,Hyderabad,"Plot No.65,Road No.5,New Samathapuri Colony,Na",500035,AP
0106,HAP0106,Bhimavaram Hospitals Ltd,Andhra Pradesh,Tadepalligudam,J.P. Road Bhimavaramwest Godavary,534204,AP
0107,HAP0107,Bibi General Hospital & Cancer Centre,Andhra Pradesh,Hyderabad,"16-3-991/1/C Govt Printing Press, Marketgovt. Printing Press Road",500024,AP
0108,HAP0108,Bollineni Heart Centre Pvt Ltd,Andhra Pradesh,Eastgodavari,"#77-7-77/1,Seelam Nookaraju Complex Road,Katari Gardens,Rajahmundry",533103,AP
0109,HAP0109,Bollineni Hospitals (A Unit Of Krishna Institute Of Medical Sciences Limited),Andhra Pradesh,Rajamundry,"#77-7-77/1, Seelam Nookaraju Complex Katari Gardens,",533103,AP
0110,HAP0110,Bollineni Ramanaiah Memorial Hospital & Pvt Ltd,Andhra Pradesh,Nellore,"Dargamitta,Nellore",524003,AP
0111,HAP0111,Bollineni Ramanaiah Memorial Hospitals Pvt. Ltd,Andhra Pradesh,Nellore,"Dargamitta,Nellore",524003,AP
0112,HAP0112,Bommidala Cancer Institute,Andhra Pradesh,Guntur,Peda Kakani.,522509,AP
0113,HAP0113,Boppana Super Speciality Hospital,Andhra Pradesh,Vijayawada,"Machilipatnam Road, Poranki, Vijayawada, Andhra Pradesh.",521137,AP
0114,HAP0114,Bristlecone Hospitals Private Limited,Andhra Pradesh,Hyderabad,"3-4-136/A,Street #6 Barkatpurbarkhatpura Branch",500027,AP
0115,HAP0115,Brundavan Nursing Home,Andhra Pradesh,Machlipatanam,"# 24/588- Railway Station Road, Rajavari Centre.",521001,AP
0116,HAP0116,Bsr Ent Nursing Home,Andhra Pradesh,Hyderabad,"Sd Road,Karancentre",500003,AP
0117,HAP0117,C.R.Reddy Hospital,Andhra Pradesh,Nellore,"13/264,Hospital Road,Gudur",524101,AP
0118,HAP0118,C.V.R Hospital,Andhra Pradesh,Guntur,"H No:10-1-7,1St Lane,Sambasivapet,",522001,AP
0119,HAP0119,Calibre Medical Centre (Cmc),Andhra Pradesh,Hyderabad,"1-11-240/2D, Shyamlal Buildings Begumpet",500016,AP
0120,HAP0120,Care Hospital,Andhra Pradesh,Hyderabad,"No.6-3-248/1/1A, Road No.01, Banjara Hills, Hyderabad-500034",500034,AP
0121,HAP0121,Care Hospitals,Andhra Pradesh,Secunderabad,"Near Clocl Tower,Adjacent Laneto Westely Church, Market Stre",500003,AP
0122,HAP0122,Care Hospitals (A Unit Of Quality Care India Limited).,Andhra Pradesh,Hyderabad,"Exhibition Road Hyderabad-500001, Near Mazam Jahi Market",500001,AP
0123,HAP0123,Chaitanya Eye Hospital,Andhra Pradesh,Vijayawada,Tikkle Road Mogalrajpuram,520010,AP
0124,HAP0124,Chaithanya Multispeciality Hospital,Andhra Pradesh,Hyderabad,"Plot No:357&358, Prashanthnagar,Vanasthalipuram, Near Panama Godowns, Hyderabad-500070",500070,AP
0125,HAP0125,Chalasani Hospital,Andhra Pradesh,Guntur,"12-12-94/A,Old Club Road,Kothapeta",522001,AP
0126,HAP0126,Chalasani Hospitals Pvt. Ltd.,Andhra Pradesh,Vizag,"50-53-4, Gurudwaralane, Seethammadhara, Visakhapatnam-530013, Beside A.P.E.P.D.L.L Corporate Office",530013,AP
0127,HAP0127,Challa Eye Care Centre,Andhra Pradesh,Hyderabad,"8-2-268/R/9-P,Sagar Society Main Road,Road # 2,Banjara Hills",500016,AP
0128,HAP0128,Challa Hospital,Andhra Pradesh,Hyderabad,"7-1-71/A/1, Dharam Karan Road, Ameerpet, Hyderabad-500016",500016,AP
0129,HAP0129,Chandra Mohan'S Nursing Home,Andhra Pradesh,Madanapalle,"14-2A,C.T.M. Road,Beside Icici Bank Madanapalle",517325,AP
0130,HAP0130,Charithasri Hospitals Ltd,Andhra Pradesh,Vijayawada,"Ramachandra Rao Road,29/6/8-1,Vijayawada.Ramachandrarao Road",520002,AP
0131,HAP0131,Childrens Hospital,Andhra Pradesh,Guntur,"6-11-58/59, 11Th Lane, 2Nd Cross, Arundelpet.",522002,AP
0132,HAP0132,City Cancer Centre,Andhra Pradesh,Hyderabad,"No.33-25-33,Ch.Venkata Krishnaiah Street,Suryaraopet,Krishna,Vijayawada",520002,AP
0133,HAP0133,Clear Vision Eye Hospital,Andhra Pradesh,Himayatnagar,"3-6-272, Nvk Towers, Opp Telugu Academy Himayathnagar, Hyderabad-500029Quarters Road, Hyderabad.",500029,AP
0134,HAP0134,Cnr Nursing Home,Andhra Pradesh,Kadapa,"4/6,Gandhi Road,Proddatur",516360,AP
0135,HAP0135,Coastal Cardiac And Maternity Centre,Andhra Pradesh,Rajahmundry,Danavaipeta Park Beside Hdfc Bank East Godavari,533103,AP
0136,HAP0136,Coastal Care Hospital,Andhra Pradesh,Guntur,"8Th, Line, Old Club Road, Gunturivarithota, Kothapet, Guntur-522001, Opp Bus Stand, Old Club Road",522001,AP
0137,HAP0137,Cure Emergency Hospital,Andhra Pradesh,Khammam,"11-2-91/A, Balajinagar, N.S.T Road, Khammam, Andhrapradesh-507001Balajinagar",507001,AP
0138,HAP0138,Cure Hospitals,Andhra Pradesh,Secunderabad,"Plot # 3,Ganesh Nagar Colony,Opp Smt Sarojini Pulla Reddy House,Hasmathpet Road,Bowenpallh",500011,AP
0139,HAP0139,Cure Well Hospital,Andhra Pradesh,Warangal,"15-1-46, Srinivasa Colony Opp Mgm Hospital",506007,AP
0140,HAP0140,Curie City Cancer Centre,Andhra Pradesh,Krishna,"Padavalarevu,Gunadala,Krishna",520004,AP
0141,HAP0141,Datta Prasad Orthopaedic Nursing Home,Andhra Pradesh,Guntur,"D.No#14-8-38.Netajinagar, 2Nd Lane,Ponnur.",522124,AP
0142,HAP0142,Dbr & Sk Super Speciality Hospital,Andhra Pradesh,Chittoor,"No.18-1-505,Mosque Road,Opp.V.V.Mahal Theatre,Chitoor,",517501,AP
0143,HAP0143,Deepthi Nursing Home,Andhra Pradesh,Nellore,"Sbi Railway Road, Brindavanam, Psr",524001,AP
0144,HAP0144,Devi Priya Life Care Hospital,Andhra Pradesh,Vizag,"58-1-433/2,Main Road,Santhinagar,Nad Post",530009,AP
0145,HAP0145,Dharani Nursing Home,Andhra Pradesh,Nalgonda,"Doctirs Colony, Miryalaguda.",508207,AP
0146,HAP0146,Dhulipalla Hospital Guntur,Andhra Pradesh,Guntur,"12-25-179,Kothapet, Opp Sivalayam, Guntur-522001",522001,AP
0147,HAP0147,Dolphin Children Hospital,Andhra Pradesh,Hyderabad,"17-87,Road #1,Kamalanagar,Chaitanyapuri,Dilsukhnagar",500060,AP
0148,HAP0148,Dr Agarwal'S Healthcare Ltd,Andhra Pradesh,Hyderabad,"18-92/C,D,E, S.S Towers Chaitanyapuri X Road Dilsukhnagar-500060Dilsukhnagar",500060,AP
0149,HAP0149,Dr Agarwal'S Healthcare Ltd,Andhra Pradesh,Secunderabad,"Matarani Sensation 8-1-386, 387-8467 Rastrapati Road Secunderabad-500003",500003,AP
0150,HAP0150,Dr Andals Lakshmi Fertility Reserch & Laparoscopic Surgical Centre,Andhra Pradesh,Nellore,"16-2-94, Pogathota, Near Raghava Cini Complex, Nellore-524001",524001,AP
0151,HAP0151,Dr Pattabhirama Rao (Siromani Hospital),Andhra Pradesh,Kothagudem,"No.4-1-7,Ramnagar,Kothagudem-507101",507101,AP
0152,HAP0152,Dr Sreedhar'S Kidney & Multispeciality Hospital,Andhra Pradesh,Hyderabad,"No.13-6-437/1/L/1,Khaderbagh,Nanal Nagar,",500008,AP
0153,HAP0153,Dr Ysr Memorial Hospital,Andhra Pradesh,Ananthapur,"#12-2-878, 1Cross, Sai Nagar, Anantapur-515001 (A.P.)",515001,AP
0154,HAP0154,Dr. Agarwal'S Eye Hospital (Rep By Dr. Agarwal'S Health Care Ltd.),Andhra Pradesh,Hyderabad,"#6-3-712/80 And 81, Punjagutta Colony, Hyderabad, A.P.-500082",500082,AP
0155,HAP0155,Dr. Akbar Eye Hospital,Andhra Pradesh,Ananthapur,#12-3-2 346Th Lane Sai Nagar Ananthapur,515001,AP
0156,HAP0156,Dr. Anji Reddy Multi-Speciality Hospital Pvt Ltd,Andhra Pradesh,Guntur,"16/682, Piduguralla Main Road.",522413,AP
0157,HAS0157,Aditya Diagnostics & Hospitals (A Unit Of Dr. N. Sahewalla & Co Pvt. Ltd),Assam,Dibrugarh,"AMC Road, Bordoloi Avenue, Dibrugarl Dist, Assam-786005.",786005,AS
0158,HAS0158,Agile Hospital Pvt. Ltd,Assam,Guwahati,"Tripura Road, Jayanagar Chariali, Guwahati, Kamrup, Assam, Opposite Sbi, Iibm Branch.",781022,AS
0159,HAS0159,B.K.Memorial Hospital,Assam,Sonitpur,"Natun Para Near Ganesh Mill Char Ali,Tezpur",784001,AS
0160,HAS0160,Baptist Christian Hospital,Assam,Sonitpur,"Mission Chariali, 4 Corps Army Battalion. Tezpur",784001,AS
0161,HAS0161,Barthakur Clinic Pvt Ltd,Assam,Guwahati,Karghuli Road Kharghuli,781028,AS
0162,HAS0162,Brahmaputra Diagnostics & Hospital Ltd,Assam,Dibrugarh,"Bordoloi Avenue,Patian Bazar, Near Circuit House & Assam Medical College, Dibrugarh-786001",786001,AS
0163,HAS0163,City Heart Hospital ( Unit Of Rajgarh Polyclinic & Nursing Home ),Assam,Guwahati,"Rajgarh Road, Gawahati, Kamrup, Assam",781007,AS
0164,HAS0164,City Hospital & Research Centre,Assam,Tinsukia,"A.T. Road, Near Timkonia Dukmari, Timsukia, Assam-786125",786125,AS
0165,HAS0165,Dispur Polyclinic & Nursing Home,Assam,Guwahati,Ganeshguri Chariali,781001,AS
0166,HAS0166,Down Town Hospital Ltd,Assam,Guwahati,"G.S. Road, Dispur",781005,AS
0167,HAS0167,Dr. Bawaris Nursing Home,Assam,Tinsukia,"Parbatia Road, Tinukin.",786125,AS
0168,HBR0168,A.B.Eye Institute,Bihar,Patna,"Road No.12, Rajendra Nagar, Patna, Bihar-800016",800016,BR
0169,HBR0169,Abhinandan Hospital,Bihar,Patna,"0/60, Doctors Colony, Kankar Baga",800020,BR
0170,HBR0170,Arvind Hospital Pvt Ltd,Bihar,Patna,"Ashok Rajpath,Opp.Pmch,",800004,BR
0171,HCG0171,Agrawal Hospital (A Unit Of Agrawal Institute Of Medical Sciences Pvt,Chattisgarh,Raipur,"Near Rajkumar College, G.E. Road.",492001,CG
0172,HCG0172,Akshay Hospital,Chattisgarh,Korba,"M.P. Nagar,",495681,CG
0173,HCG0173,Apollo Hospitals Bilaspur,Chattisgarh,Bilaspur,"Seepat Road,Bilaspur(C.G)",495006,CG
0174,HCG0174,Aum Hospital,Chattisgarh,Durg,"House # 22, Ward # 18.",491001,CG
0175,HCG0175,Ayushmaan Hospital & Diagnostic Institute,Chattisgarh,Raipur,"Sunder Nagar, Mahadeo Ghat Road, Raipur",492001,CG
0176,HCG0176,Bhargava Nursing Home,Chattisgarh,Bilaspur,"Magarpara Road,",495001,CG
0177,HCG0177,Chandulal Chandrakar Memorial Hospital,Chattisgarh,Bhilai,"G.E. Road, Nehmnagar, Bhilak C.G,",490020,CG
0178,HCG0178,Chattisgarh Hosptial Medical Research Centre & Institute,Chattisgarh,Raipur,"Central Avenue, Choubey Colony.",492001,CG
0179,HCG0179,Devi Laxmi Hospital,Chattisgarh,Raipur,"B-19/5,Ring Road,Tagore Nagar",492001,CG
0180,HDK0180,A-One Hospital Pvt Ltd,Delhi,Delhi,"A-1/7, Panchim Vihar, Rohtak Road, New Delhi-110063",110063,DK
0181,HDK0181,Aakash Hospital,Delhi,Delhi,"90/43, Malviya Nagar, New Delhi",110017,DK
